,rec_id,msgs,fixations,morph_type,lst_type,target,preview,sentence,boundary_index,sentence_len,boundary_shift,pre_target,post_target,type,TextBlock,adjusted_seq,trial_id,GD,FFD,GPD,FoM,trial_type,sbjID
34,84,"['trial 35 start', 'trial 35 end']","FixationSequence[Fixation[1162,585], ..., Fixation[1385,523]]",simple,2,resource,resource,It's an amazing X for young students interested in biology.,15,66,-400.0,It's an amazing , for young students interested in biology.,trial,TextBlock[It's an amazing r...],"FixationSequence[Fixation[1162,585], ..., Fixation[1385,534]]",35,428,428,428,,identical,3
35,85,"['trial 36 start', 'trial 36 end']","FixationSequence[Fixation[960,492], ..., Fixation[1262,553]]",simple,1,parcel,parcel,There was a large X on her doorstep when she got home.,17,59,-368.0,There was a large , on her doorstep when she got home.,trial,TextBlock[There was a large...],"FixationSequence[Fixation[960,492], ..., Fixation[1262,534]]",36,334,334,334,,identical,3
36,86,"['trial 37 start', 'trial 37 end']","FixationSequence[Fixation[851,511], ..., Fixation[1357,536]]",complex,3,soloist,saloiso,Jessica was a former X for the national orchestra in Paris.,20,65,-320.0,Jessica was a former , for the national orchestra in Paris.,trial,TextBlock[Jessica was a for...],"FixationSequence[Fixation[851,511], ..., Fixation[1357,534]]",37,1073,229,1073,229.0,legal_nonword,3
37,87,"['trial 38 start', 'trial 38 end']","FixationSequence[Fixation[1008,552], ..., Fixation[1309,537]]",simple,1,island,island,The beauty of this amazing X is one of my best memories.,26,61,-224.0,The beauty of this amazing , is one of my best memories.,trial,TextBlock[The beauty of thi...],"FixationSequence[Fixation[1008,552], ..., Fixation[1309,534]]",38,239,239,239,,identical,3
38,88,"['trial 39 start', 'trial 39 end']","FixationSequence[Fixation[919,536], ..., Fixation[1586,530]]",simple,2,lettuce,lettuce,To their frustration only some X and corn would grow in this poor soil.,30,77,-160.0,To their frustration only some , and corn would grow in this poor soil.,trial,TextBlock[To their frustrat...],"FixationSequence[Fixation[919,536], ..., Fixation[1586,534]]",39,330,330,330,,identical,3
39,89,"['trial 40 start', 'trial 40 end']","FixationSequence[Fixation[743,490], ..., Fixation[1378,527]]",complex,3,northern,nirtego ,This is the great X tradition of coffee breaks called fika.,17,66,-368.0,This is the great , tradition of coffee breaks called fika.,trial,TextBlock[This is the great...],"FixationSequence[Fixation[743,490], ..., Fixation[1378,534]]",40,299,299,811,,legal_nonword,3
40,90,"['trial 41 start', 'trial 41 end']","FixationSequence[Fixation[896,520], ..., Fixation[1626,525]]",complex,4,furious,wlxdhty,I'm still incredibly X that I wasn't invited to the birthday party.,20,73,-320.0,I'm still incredibly , that I wasn't invited to the birthday party.,trial,TextBlock[I'm still incredi...],"FixationSequence[Fixation[896,520], ..., Fixation[1626,534]]",41,420,420,420,,illegal_nonword,3
41,94,"['trial 42 start', 'trial 42 end']","FixationSequence[Fixation[769,580], ..., Fixation[1367,522]]",simple,2,nephew,xkrvmy,Only a special X would agree to help his uncle for a year.,14,63,-416.0,Only a special , would agree to help his uncle for a year.,trial,TextBlock[Only a special ne...],"FixationSequence[Fixation[769,580], ..., Fixation[1367,534]]",42,434,434,434,,illegal_nonword,3
42,95,"['trial 43 start', 'trial 43 end']","FixationSequence[Fixation[665,509], ..., Fixation[1238,542]]",simple,2,plaque,plaque,Choosing the right X to buy is not quite easy.,18,51,-352.0,Choosing the right , to buy is not quite easy.,trial,TextBlock[Choosing the righ...],"FixationSequence[Fixation[665,509], ..., Fixation[1238,534]]",43,30,30,665,,identical,3
43,102,"['trial 44 start', 'trial 44 end']","FixationSequence[Fixation[1154,586], ..., Fixation[1626,527]]",simple,4,example,esempio,It has shown them a true X of how to fight back against wars. ,24,68,-256.0,It has shown them a true , of how to fight back against wars. ,trial,TextBlock[It has shown them...],"FixationSequence[Fixation[1154,586], ..., Fixation[1626,534]]",44,239,239,239,,cognate,3
44,103,"['trial 45 start', 'trial 45 end']","FixationSequence[Fixation[806,506], ..., Fixation[1335,526]]",simple,2,theorem,wnbpjdc,It is a solid X now despite the time it took to prove it.,13,63,-432.0,It is a solid , now despite the time it took to prove it.,trial,TextBlock[It is a solid the...],"FixationSequence[Fixation[806,506], ..., Fixation[1335,534]]",45,283,283,283,,illegal_nonword,3
45,104,"['trial 46 start', 'trial 46 end']","FixationSequence[Fixation[1051,420], ..., Fixation[1578,534]]",simple,4,paddle,pagaia,We looked for the missing X all day but couldn't find it.,25,62,-240.0,We looked for the missing , all day but couldn't find it.,trial,TextBlock[We looked for the...],"FixationSequence[Fixation[1051,420], ..., Fixation[1578,534]]",46,272,272,272,,cognate,3
46,108,"['trial 47 start', 'trial 47 end']","FixationSequence[Fixation[750,568], ..., Fixation[1539,532]]",simple,3,rhythm,romto ,He found a good X in the second quarter and scored thirty points.,15,70,-400.0,He found a good , in the second quarter and scored thirty points.,trial,TextBlock[He found a good r...],"FixationSequence[Fixation[750,568], ..., Fixation[1539,534]]",47,409,409,409,,legal_nonword,3
47,109,"['trial 48 start', 'trial 48 end']","FixationSequence[Fixation[921,507], ..., Fixation[1339,540]]",simple,3,sponge,spugna,A large square X sat on the side of the kitchen sink.,14,58,-416.0,A large square , sat on the side of the kitchen sink.,trial,TextBlock[A large square sp...],"FixationSequence[Fixation[921,507], ..., Fixation[1339,534]]",48,229,229,229,,cognate,3
48,110,"['trial 49 start', 'trial 49 end']","FixationSequence[Fixation[810,542], ..., Fixation[1271,541]]",simple,2,yellow,yellow,Yesterday he declared X alerts for several areas.,21,54,-304.0,Yesterday he declared , alerts for several areas.,trial,TextBlock[Yesterday he decl...],"FixationSequence[Fixation[810,542], ..., Fixation[1271,534]]",49,173,173,173,,identical,3
49,111,"['trial 50 start', 'trial 50 end']","FixationSequence[Fixation[737,529], ..., Fixation[1625,483]]",complex,1,asthmatic,ostamati ,Children often experience X attacks as a result of tobacco smoke.,25,73,-240.0,Children often experience , attacks as a result of tobacco smoke.,trial,TextBlock[Children often ex...],"FixationSequence[Fixation[737,529], ..., Fixation[1625,534]]",50,519,327,519,327.0,legal_nonword,3
50,115,"['trial 51 start', 'trial 51 end']","FixationSequence[Fixation[783,593], ..., Fixation[1218,559]]",simple,4,surprise,vbqjyzch,John could always X Jane on their anniversary.,17,53,-368.0,John could always , Jane on their anniversary.,trial,TextBlock[John could always...],"FixationSequence[Fixation[783,593], ..., Fixation[1218,534]]",51,412,239,412,239.0,illegal_nonword,3
51,119,"['trial 52 start', 'trial 52 end']","FixationSequence[Fixation[772,581], ..., Fixation[1482,532]]",simple,1,vehicle,venacre,Yesterday I saw another X on that street in the middle of the day.,23,72,-272.0,Yesterday I saw another , on that street in the middle of the day.,trial,TextBlock[Yesterday I saw a...],"FixationSequence[Fixation[772,581], ..., Fixation[1482,534]]",52,444,193,444,193.0,legal_nonword,3
52,120,"['trial 53 start', 'trial 53 end']","FixationSequence[Fixation[788,495], ..., Fixation[1448,529]]",complex,1,sensitive,sessipive,Theres a possibility X data has been transmitted to scammers.,21,70,-304.0,Theres a possibility , data has been transmitted to scammers.,trial,TextBlock[Theres a possibi...],"FixationSequence[Fixation[788,495], ..., Fixation[1448,534]]",53,560,278,560,278.0,legal_nonword,3
53,121,"['trial 54 start', 'trial 54 end']","FixationSequence[Fixation[678,546], ..., Fixation[1518,513]]",complex,4,historic,storico ,What an excitingly X setting for the last race of the season.,18,68,-352.0,What an excitingly , setting for the last race of the season.,trial,TextBlock[What an excitingl...],"FixationSequence[Fixation[678,546], ..., Fixation[1518,534]]",54,334,334,1199,,cognate,3
54,125,"['trial 55 start', 'trial 55 end']","FixationSequence[Fixation[1158,589], ..., Fixation[1335,525]]",complex,2,jealousy,fmdwqrzt,A touch of friendly X can put a spark in a relationship.,19,63,-336.0,A touch of friendly , can put a spark in a relationship.,trial,TextBlock[A touch of friend...],"FixationSequence[Fixation[1158,589], ..., Fixation[1335,534]]",55,660,153,660,153.0,illegal_nonword,3
55,126,"['trial 56 start', 'trial 56 end']","FixationSequence[Fixation[847,496], ..., Fixation[1406,539]]",simple,4,prophet,profeta,In centuries no other X had managed to unite them as he did.,21,66,-304.0,In centuries no other , had managed to unite them as he did.,trial,TextBlock[In centuries no o...],"FixationSequence[Fixation[847,496], ..., Fixation[1406,534]]",56,359,359,526,,cognate,3
56,127,"['trial 57 start', 'trial 57 end']","FixationSequence[Fixation[838,491], ..., Fixation[1293,545]]",simple,3,nostril,nitiro ,In the right X there was a little circular piercing.,12,58,-448.0,In the right , there was a little circular piercing.,trial,TextBlock[In the right nost...],"FixationSequence[Fixation[838,491], ..., Fixation[1293,534]]",57,525,303,525,303.0,legal_nonword,3
57,128,"['trial 58 start', 'trial 58 end']","FixationSequence[Fixation[832,510], ..., Fixation[1450,521]]",simple,4,hygiene,igiene ,The bags contained X items for the earthquake victims.,18,60,-352.0,The bags contained , items for the earthquake victims.,trial,TextBlock[The bags containe...],"FixationSequence[Fixation[832,510], ..., Fixation[1450,534]]",58,251,251,747,,cognate,3
58,129,"['trial 59 start', 'trial 59 end']","FixationSequence[Fixation[808,465], ..., Fixation[1521,520]]",simple,3,sponge,plande,This type of natural X is exactly what you need to clean your house.,20,73,-320.0,This type of natural , is exactly what you need to clean your house.,trial,TextBlock[This type of natu...],"FixationSequence[Fixation[808,465], ..., Fixation[1521,534]]",59,304,304,304,,legal_nonword,3
59,130,"['trial 60 start', 'trial 60 end']","FixationSequence[Fixation[974,522], ..., Fixation[1266,524]]",simple,3,nostril,narice ,I bought an electric X groomer from the same store.,20,57,-320.0,I bought an electric , groomer from the same store.,trial,TextBlock[I bought an elect...],"FixationSequence[Fixation[974,522], ..., Fixation[1266,534]]",60,264,264,264,,cognate,3
60,131,"['trial 61 start', 'trial 61 end']","FixationSequence[Fixation[717,526], ..., Fixation[1481,532]]",complex,3,soloist,solista,That evening the only X in the orchestra was a violin player.,21,67,-304.0,That evening the only , in the orchestra was a violin player.,trial,TextBlock[That evening the ...],"FixationSequence[Fixation[717,526], ..., Fixation[1481,534]]",61,522,522,522,,cognate,3
61,132,"['trial 62 start', 'trial 62 end']","FixationSequence[Fixation[750,506], ..., Fixation[1253,521]]",simple,4,surprise,sorpresa,I hope your X isn't going to be spoiled.,11,47,-464.0,I hope your , isn't going to be spoiled.,trial,TextBlock[I hope your surpr...],"FixationSequence[Fixation[750,506], ..., Fixation[1253,534]]",62,464,232,1000,232.0,cognate,3
62,133,"['trial 63 start', 'trial 63 end']","FixationSequence[Fixation[732,516], ..., Fixation[1403,536]]",simple,2,yellow,vmfqhk,There were large X plates on the table for the main course.,16,64,-384.0,There were large , plates on the table for the main course.,trial,TextBlock[There were large ...],"FixationSequence[Fixation[732,516], ..., Fixation[1403,534]]",63,336,336,336,,illegal_nonword,3
63,137,"['trial 64 start', 'trial 64 end']","FixationSequence[Fixation[766,572], ..., Fixation[1512,523]]",complex,4,furious,furioso,Brian was clearly X about the grade he got for his final exam.,17,68,-368.0,Brian was clearly , about the grade he got for his final exam.,trial,TextBlock[Brian was clearly...],"FixationSequence[Fixation[766,572], ..., Fixation[1512,534]]",64,409,409,409,,cognate,3
64,140,"['trial 65 restart', 'trial 65 end']","FixationSequence[Fixation[895,554], ..., Fixation[1600,539]]",complex,4,fortress,fortezza,She told us about the black X on a hill above all the land.,27,66,-208.0,She told us about the black , on a hill above all the land.,trial,TextBlock[She told us about...],"FixationSequence[Fixation[895,554], ..., Fixation[1600,534]]",65,284,284,284,,cognate,3
65,141,"['trial 66 start', 'trial 66 end']","FixationSequence[Fixation[852,482], ..., Fixation[1506,523]]",complex,1,humidity,humidity,I think higher X feels worse than having higher temperatures.,14,68,-416.0,I think higher , feels worse than having higher temperatures.,trial,TextBlock[I think higher hu...],"FixationSequence[Fixation[852,482], ..., Fixation[1506,534]]",66,197,26,770,26.0,identical,3
66,146,"['trial 67 start', 'trial 67 end']","FixationSequence[Fixation[942,572], ..., Fixation[1500,522]]",complex,2,vigilance,vigilance,I appreciate your tireless X in getting the truth out there.,26,68,-224.0,I appreciate your tireless , in getting the truth out there.,trial,TextBlock[I appreciate your...],"FixationSequence[Fixation[942,572], ..., Fixation[1500,534]]",67,501,501,2897,,identical,3
67,147,"['trial 68 start', 'trial 68 end']","FixationSequence[Fixation[859,506], ..., Fixation[1508,516]]",simple,2,spinach,gfvtxwb,After a short wait seven X bowls were brought to the table.,24,65,-256.0,After a short wait seven , bowls were brought to the table.,trial,TextBlock[After a short wai...],"FixationSequence[Fixation[859,506], ..., Fixation[1508,534]]",68,1059,856,1059,856.0,illegal_nonword,3
68,148,"['trial 69 start', 'trial 69 end']","FixationSequence[Fixation[800,506], ..., Fixation[1686,539]]",simple,1,genius,ganis ,She is one of those X characters who don't work hard but succeed anyway.,19,77,-336.0,She is one of those , characters who don't work hard but succeed anyway.,trial,TextBlock[She is one of tho...],"FixationSequence[Fixation[800,506], ..., Fixation[1686,534]]",69,427,227,663,227.0,legal_nonword,3
69,149,"['trial 70 start', 'trial 70 end']","FixationSequence[Fixation[717,535], ..., Fixation[1298,532]]",simple,2,horror,horror,"We all have interesting X stories we can tell, don't we?",23,61,-272.0,We all have interesting ," stories we can tell, don't we?",trial,TextBlock[We all have inter...],"FixationSequence[Fixation[717,535], ..., Fixation[1298,534]]",70,196,196,753,,identical,3
70,150,"['trial 71 start', 'trial 71 end']","FixationSequence[Fixation[634,570], ..., Fixation[1674,538]]",complex,1,nervous,neprous,She was especially X before the test since she hadn't studied.,18,68,-352.0,She was especially , before the test since she hadn't studied.,trial,TextBlock[She was especiall...],"FixationSequence[Fixation[634,570], ..., Fixation[1674,534]]",71,254,254,254,,legal_nonword,3
71,151,"['trial 72 start', 'trial 72 end']","FixationSequence[Fixation[862,521], ..., Fixation[1404,512]]",complex,1,acidity,acidity,You can increase X by adding lemon juice to the mixture.,16,62,-384.0,You can increase , by adding lemon juice to the mixture.,trial,TextBlock[You can increase ...],"FixationSequence[Fixation[862,521], ..., Fixation[1404,534]]",72,352,131,352,131.0,identical,3
72,152,"['trial 73 start', 'trial 73 end']","FixationSequence[Fixation[907,500], ..., Fixation[1101,532]]",complex,2,audible,audible,It was almost X how excited she was at the news.,13,54,-432.0,It was almost , how excited she was at the news.,trial,TextBlock[It was almost aud...],"FixationSequence[Fixation[907,500], ..., Fixation[1101,534]]",73,361,186,361,186.0,identical,3
73,153,"['trial 74 start', 'trial 74 end']","FixationSequence[Fixation[831,541], ..., Fixation[1312,509]]",complex,4,zealous,mjkpvgw,Max was a little X at first when talking to strangers.,16,60,-384.0,Max was a little , at first when talking to strangers.,trial,TextBlock[Max was a little ...],"FixationSequence[Fixation[831,541], ..., Fixation[1312,534]]",74,1717,50,1717,50.0,illegal_nonword,3
74,154,"['trial 75 start', 'trial 75 end']","FixationSequence[Fixation[443,517], ..., Fixation[1352,514]]",complex,4,pianists,pianisti,She wanted three X in the concert but only two arrived.,16,62,-384.0,She wanted three , in the concert but only two arrived.,trial,TextBlock[She wanted three ...],"FixationSequence[Fixation[443,517], ..., Fixation[1352,534]]",75,1040,218,1040,218.0,cognate,3
75,155,"['trial 76 start', 'trial 76 end']","FixationSequence[Fixation[443,550], ..., Fixation[1230,536]]",complex,2,violence,violence,If you promote X then it might be used on you too.,14,57,-416.0,If you promote , then it might be used on you too.,trial,TextBlock[If you promote vi...],"FixationSequence[Fixation[443,550], ..., Fixation[1230,534]]",76,412,412,412,,identical,3
